,Age,Flight Distance,Inflight Wifi Service,Departure/Arrival Time Convenient,Ease Of Online Booking,Gate Location,Food And Drink,Online Boarding,Seat Comfort,Inflight Entertainment,On-Board Service,Leg Room Service,Baggage Handling,Checkin Service,Inflight Service,Cleanliness,Departure Delay In Minutes,Arrival Delay In Minutes
Total de valores,"129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,880","129,487"
Media,39.43,"1,190.32",2.73,3.06,2.76,2.98,3.20,3.25,3.44,3.36,3.38,3.35,3.63,3.31,3.64,3.29,14.71,15.09
Desviación estándar,15.12,997.45,1.33,1.53,1.40,1.28,1.33,1.35,1.32,1.33,1.29,1.32,1.18,1.27,1.18,1.31,38.07,38.47
Mínimo,7,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Q1,27,414,2,2,2,2,2,2,2,2,2,2,3,3,3,2,0,0
Q2,40,844,3,3,3,3,3,3,4,4,4,4,4,3,4,3,0,0
Q3,51,"1,744",4,4,4,4,4,4,5,4,4,4,5,4,5,4,12,13
Máximo,85,"4,983",5,5,5,5,5,5,5,5,5,5,5,5,5,5,"1,592","1,584"
RIC,24,"1,330",2,2,2,2,2,2,3,2,2,2,2,1,2,2,12,13
Asimetría,-0.00,1.11,0.04,-0.33,-0.02,-0.06,-0.16,-0.46,-0.49,-0.37,-0.42,-0.35,-0.68,-0.37,-0.69,-0.30,6.82,6.67
Curtosis,-0.72,0.27,-0.85,-1.04,-0.91,-1.03,-1.15,-0.70,-0.92,-1.06,-0.89,-0.98,-0.38,-0.83,-0.36,-1.01,100.64,95.12
